batter,avg_total_runs,avg_strike_rate,avg_runs_vs_Chennai Super Kings,avg_runs_vs_Deccan Chargers,avg_runs_vs_Delhi Capitals,avg_runs_vs_Delhi Daredevils,avg_runs_vs_Gujarat Lions,avg_runs_vs_Gujarat Titans,avg_runs_vs_Kings XI Punjab,avg_runs_vs_Kochi Tuskers Kerala,avg_runs_vs_Kolkata Knight Riders,avg_runs_vs_Lucknow Super Giants,avg_runs_vs_Mumbai Indians,avg_runs_vs_Pune Warriors,avg_runs_vs_Punjab Kings,avg_runs_vs_Rajasthan Royals,avg_runs_vs_Rising Pune Supergiant,avg_runs_vs_Rising Pune Supergiants,avg_runs_vs_Royal Challengers Bangalore,avg_runs_vs_Royal Challengers Bengaluru,avg_runs_vs_Sunrisers Hyderabad,avg_runs_at_stadium,avg_runs_vs_team
A Ashish Reddy,15.0,141.66666666666666,15.0,0.0,0.0,12.0,0.0,0.0,12.333333333333334,0.0,8.5,0.0,13.5,13.0,0.0,12.333333333333334,0.0,0.0,11.0,0.0,0.0,14.445454545454547,12.208333333333332
A Badoni,33.666666666666664,141.77944862155388,33.666666666666664,0.0,22.25,0.0,0.0,22.2,0.0,0.0,21.0,0.0,10.75,0.0,15.0,5.0,0.0,0.0,15.666666666666666,0.0,37.0,19.683566433566433,18.253333333333334
A Chandila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0
A Chopra,17.5,75.5,0.0,17.5,0.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.416666666666668,7.1
A Choudhary,15.0,125.0,0.0,0.0,0.0,0.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.75,8.333333333333334
A Dananjaya,4.0,80.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
A Flintoff,16.0,88.88888888888889,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,20.666666666666668,20.666666666666668
A Kamboj,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
A Kumble,1.5,110.0,1.5,1.3333333333333333,0.0,1.0,0.0,0.0,2.25,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.242424242424242,2.847222222222222
A Manohar,12.0,100.0,12.0,0.0,11.666666666666666,0.0,0.0,0.0,0.0,0.0,8.0,9.0,22.0,0.0,0.0,23.666666666666668,0.0,0.0,0.0,0.0,17.5,11.038888888888888,14.833333333333334
A Mishra,7.25,109.58198051948052,7.25,1.5,0.0,11.0,8.0,0.0,4.5,0.0,7.75,0.0,8.8,15.0,0.0,4.285714285714286,13.0,0.0,9.0,0.0,1.0,7.494386446886447,7.006593406593407
A Mithun,11.0,137.5,11.0,0.0,0.0,2.5,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,5.875
A Mukund,9.5,43.18181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,9.5,9.5
