batter,avg_total_runs,avg_strike_rate,avg_runs_vs_team,avg_runs_at_stadium,Chennai Super Kings,Deccan Chargers,Delhi Capitals,Delhi Daredevils,Gujarat Lions,Gujarat Titans,Kings XI Punjab,Kochi Tuskers Kerala,Kolkata Knight Riders,Lucknow Super Giants,Mumbai Indians,Pune Warriors,Punjab Kings,Rajasthan Royals,Rising Pune Supergiant,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bengaluru,Sunrisers Hyderabad
A Ashish Reddy,15.0,141.66666666666666,12.208333333333332,14.445454545454549,15.0,0.0,0.0,12.0,0.0,0.0,12.333333333333334,0.0,8.5,0.0,13.5,13.0,0.0,12.333333333333334,0.0,0.0,11.0,0.0,0.0
A Badoni,33.666666666666664,141.77944862155388,18.25333333333333,19.683566433566437,33.666666666666664,0.0,22.25,0.0,0.0,22.2,0.0,0.0,21.0,0.0,10.75,0.0,15.0,5.0,0.0,0.0,15.666666666666666,0.0,37.0
A Chandila,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
A Chopra,17.5,75.5,7.1,10.416666666666668,0.0,17.5,0.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
A Choudhary,15.0,125.0,8.333333333333334,7.75,0.0,0.0,0.0,0.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
A Dananjaya,4.0,80.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Flintoff,16.0,88.88888888888889,20.666666666666668,20.666666666666668,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0
A Kamboj,2.0,100.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Kumble,1.5,110.0,2.847222222222222,2.242424242424242,1.5,1.3333333333333333,0.0,1.0,0.0,0.0,2.25,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
A Manohar,12.0,100.0,14.833333333333334,11.038888888888888,12.0,0.0,11.666666666666666,0.0,0.0,0.0,0.0,0.0,8.0,9.0,22.0,0.0,0.0,23.666666666666668,0.0,0.0,0.0,0.0,17.5
A Mishra,7.25,109.58198051948052,7.006593406593407,7.494386446886447,7.25,1.5,0.0,11.0,8.0,0.0,4.5,0.0,7.75,0.0,8.8,15.0,0.0,4.285714285714286,13.0,0.0,9.0,0.0,1.0
A Mithun,11.0,137.5,5.875,6.3,11.0,0.0,0.0,2.5,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mukund,9.5,43.18181818181818,9.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0
A Nehra,0.5,25.0,3.855555555555556,2.7962962962962963,0.5,22.0,0.0,1.0,0.0,0.0,1.2,0.0,0.5,0.0,0.5,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
A Nortje,0.5,7.142857142857142,5.0625,4.472222222222222,0.5,0.0,0.0,0.0,0.0,3.5,3.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1.5
A Raghuvanshi,24.0,133.33333333333331,23.916666666666668,27.266666666666666,24.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,13.0,0.0,0.0,30.0,0.0,0.0,0.0,3.0,0.0
A Singh,1.0,50.0,0.375,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Symonds,32.75,105.89805097451274,24.827777777777776,30.06851851851852,32.75,26.0,0.0,28.333333333333332,0.0,0.0,25.666666666666668,0.0,25.0,0.0,11.0,9.5,0.0,40.2,0.0,0.0,25.0,0.0,0.0
A Tomar,4.0,50.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Uniyal,4.0,66.66666666666666,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Zampa,1.0,100.0,3.0,2.625,1.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
AA Bilakhia,12.0,85.71428571428571,10.125,7.4,12.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,11.0,0.0,0.0
AA Chavan,7.0,116.66666666666669,4.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Jhunjhunwala,6.333333333333333,152.77777777777774,16.547619047619047,11.983333333333334,6.333333333333333,11.0,0.0,19.666666666666668,0.0,0.0,9.5,0.0,45.0,0.0,15.333333333333334,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
AA Kulkarni,9.0,128.57142857142858,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Noffke,9.0,75.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Agarkar,7.666666666666668,115.02645502645504,10.273809523809524,11.516666666666666,7.666666666666667,7.5,0.0,28.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,9.75,0.0,0.0,6.0,0.0,0.0
AB Barath,7.0,70.0,14.0,14.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,2.0,100.0,2.0729166666666665,1.375,2.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,2.3333333333333335,0.0,0.0
AB McDonald,8.0,114.28571428571428,14.833333333333334,13.375,8.0,0.0,0.0,15.0,0.0,0.0,8.5,0.0,0.0,0.0,33.0,0.0,0.0,14.0,0.0,0.0,10.5,0.0,0.0
AB de Villiers,21.28,107.02267839687194,32.2627891573296,31.820061771835167,21.28,21.857142857142858,29.833333333333332,45.44444444444444,58.25,0.0,33.80952380952381,54.0,24.857142857142858,0.0,32.958333333333336,29.8,13.0,32.6,16.0,42.0,28.75,0.0,31.764705882352942
AC Blizzard,1.0,14.285714285714285,16.916666666666668,12.133333333333333,0.0,1.0,0.0,18.5,0.0,0.0,15.0,0.0,51.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
AC Gilchrist,25.5,117.34459459459458,25.887741046831955,23.32910628019324,25.5,56.0,0.0,26.75,0.0,0.0,23.5,9.0,24.636363636363637,0.0,26.0,8.333333333333334,0.0,25.5,0.0,0.0,33.54545454545455,0.0,26.0
AC Thomas,1.0,50.0,5.0,3.5,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
AC Voges,20.0,105.26315789473684,26.416666666666668,24.9,20.0,0.0,0.0,15.0,0.0,0.0,45.0,0.0,22.5,0.0,28.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0
AD Hales,2.0,22.22222222222222,24.375,24.6,2.0,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,21.0,0.0,0.0
AD Mascarenhas,8.0,100.0,6.125,6.481481481481482,8.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,12.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
AD Mathews,27.0,84.78869808793083,19.82698412698413,20.152210884353742,27.0,34.5,0.0,26.5,0.0,0.0,11.4,0.0,25.2,0.0,10.2,0.0,0.0,16.0,0.0,0.0,9.142857142857142,0.0,18.5
AD Nath,24.0,120.0,10.1875,8.75,24.0,0.0,19.0,0.0,0.0,0.0,1.5,0.0,13.0,0.0,7.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,5.0
AD Russell,24.692307692307693,135.0384156905896,23.444263474620616,22.821626984126983,24.692307692307693,0.0,34.0,26.75,0.0,27.666666666666668,31.375,0.0,4.0,17.25,17.0,0.0,36.2,16.666666666666668,0.0,17.0,28.285714285714285,27.0,20.333333333333332
AF Milne,15.0,88.23529411764706,3.9,3.1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0
AG Murtaza,3.0,60.0,3.333333333333333,3.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0
AG Paunikar,20.0,105.26315789473684,9.25,13.22222222222222,0.0,20.0,0.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,19.25,105.69723151244892,22.40511988011988,25.85419047619048,19.25,0.0,8.0,35.5,0.0,0.0,24.3,0.0,24.23076923076923,14.0,26.8,25.0,0.0,22.5,23.0,50.0,21.818181818181817,0.0,19.272727272727273
